名称,两日,现价,涨跌幅,换手率,成交金额,市盈率,总市值,流通市值
泸州老窖,,51.43,1.94,1.144,861139391,22.748,75332222976,75093213184
古井贡酒,,87.00,4.38,0.927,303947887,27.264,38553432064,33373200384
燕京啤酒,,6.34,-1.40,0.653,104347104,110.377,17869539328,15909871616
西藏发展,,7.47,-3.86,3.112,61756893,-2771.616,1970275968,1970236416
酒鬼酒,,19.59,0.26,3.044,193852201,28.254,6365358592,6365358592
五 粮 液,,77.15,0.85,1.155,3412067635,24.540,299466063872,292843716608
顺鑫农业,,45.20,-1.44,1.682,439916251,36.713,25790666752,25790666752
张 裕Ａ,,28.95,-0.86,0.473,62313800,20.141,16462134272,13127690240
兰州黄河,,7.47,-1.71,1.750,24381251,-20.543,1387672064,1387584000
*ST皇台,,4.31,-0.46,2.448,18793210,-4.716,764628480,764617472
洋河股份,,110.29,-0.38,0.711,986138041,20.507,166205702144,137206472704
珠江啤酒,,5.49,-2.66,0.616,46358124,33.043,12151173120,7468176384
百润股份,,13.19,-0.38,0.997,48892068,55.364,6856197120,4916669440
青青稞酒,,12.15,-1.14,0.716,39069883,50.052,5467500032,5467500032
古越龙山,,7.68,-1.66,0.552,34354135,35.166,6209465344,6209465344
中葡股份,,3.38,-3.43,3.870,148786095,-37.675,3798196736,3798196736
重庆啤酒,,32.40,0.62,0.455,71655042,39.392,15680666624,15680666624
伊力特,,17.61,1.27,3.458,266798604,17.591,7766009856,7766009856
金种子酒,,5.64,-2.42,2.313,73607859,648.456,3134571008,3134571008
*ST椰岛,,9.78,5.05,1.338,58123197,-16.089,4383395840,4352115200
通葡股份,,4.43,-3.70,2.710,48501729,327.627,1772000000,1772000000
贵州茅台,,778.00,3.18,0.495,4808607656,30.705,977321918464,977321918464
莫高股份,,6.81,-2.71,2.965,65054987,109.772,2186827264,2186827264
老白干酒,,15.75,0.57,1.967,189201404,37.363,10870982656,9659227136
惠泉啤酒,,8.40,6.33,2.922,59071560,51.653,2100000000,2100000000
青岛啤酒,,38.93,3.59,1.224,326688050,35.220,45214797824,27091916800
金枫酒业,,5.65,-3.58,1.073,31413937,86.727,2907598336,2907598336
舍得酒业,,27.85,0.54,3.772,346562143,27.485,9393805312,9177104384
水井坊,,41.10,0.74,1.104,221925663,36.186,20079228928,20079228928
山西汾酒,,53.18,1.59,0.763,350410368,32.834,46045810688,46045810688
会稽山,,9.69,-2.91,0.882,34372398,26.029,4819418624,3876000000
迎驾贡酒,,16.52,2.67,1.484,194192001,17.933,13216000000,13216000000
今世缘,,24.00,3.23,1.364,411055293,26.203,30108000256,30108000256
口子窖,,44.99,0.07,0.551,149266924,19.936,26993999872,26993999872
威龙股份,,14.20,-3.40,1.934,25592369,51.021,3260983296,1315001600
金徽酒,,14.06,4.38,2.413,121378784,19.789,5117839872,5117839872
